Region,Rural Population,Urban Population,Total Population,Rural Pct,Urban Pct
CHERKASY,649300,753600,1402900,46%,54%
CHERNIHIV,518100,727200,1245300,42%,58%
CHERNIVTSI,549300,373500,922800,60%,40%
CRIMEA,759400,1274300,2033700,37%,63%
DNIPROPETROVSK,607300,2960300,3567600,17%,83%
DONETSK,477500,4363600,4841100,10%,90%
IVANO-FRANKIVSK,816800,593000,1409800,58%,42%
KHARKIV,625500,2288700,2914200,21%,79%
KHERSON,468900,706200,1175100,40%,60%
KHMELNYTSKYI,701200,729600,1430800,49%,51%
KIROVOHRAD,451100,682000,1133100,40%,60%
KYIV,774400,1053500,1827900,42%,58%
LUHANSK,355400,2190800,2546200,14%,86%
LVIV,1067800,1558700,2626500,41%,59%
MYKOLAIV,425900,838800,1264700,34%,66%
ODESA,844400,1624600,2469000,34%,66%
POLTAVA,673300,956800,1630100,41%,59%
RIVNE,623600,549700,1173300,53%,47%
SUMY,456800,842900,1299700,35%,65%
TERNOPOL,656800,485600,1142400,57%,43%
THE CITY OF KYIV,0,2611300,2611300,0%,100%
THE CITY OF SEVASTOPOL,21400,358100,379500,6%,94%
VINNYTSIA,953500,818900,1772400,54%,46%
VOLYN,527500,533200,1060700,50%,50%
ZAKARPATTIA,792300,466000,1258300,63%,37%
ZAPORIZHZHIA,471000,1458200,1929200,24%,76%
ZHYTOMYR,614100,775400,1389500,44%,56%
